scene,group,set,camera_center_displacement_mean,rotation_change_deg_mean,fov_change_mean,aligned_translation_error_mean,aligned_translation_error_delta
scene0466_01,rotation,controls,0.019433911582327296,0.7971508771096965,0.04999294522612635,0.20011960378340368,-0.0005993196294637737
scene0466_01,fov,selected,0.06815394659075175,2.2626595945835644,0.2754055370251191,0.24424132802658371,0.04352240461371626
scene0466_01,fov,controls,0.026184565850928907,1.4612464770732758,0.026036011704280288,0.22492385363218875,0.024204930219321297
scene0477_00,translation,selected,0.3418943980264812,7.038807068081682,0.04390513313854193,0.7454700504373416,0.6264785943530665
scene0477_00,translation,controls,0.013066393925713479,0.9927441911280791,0.01838236450766662,0.12265223045680007,0.0036607743725250025
scene0477_00,rotation,selected,0.1126505833411644,10.283157237581479,0.15965537139802072,0.421051227930539,0.3020597718462639
scene0477_00,rotation,controls,0.022435859739217447,0.7992667782196923,0.048758386293679574,0.11693593911444429,-0.0020555169698307785
scene0477_00,fov,selected,0.11656576434355775,2.967175504979829,0.26556914195531933,0.2981657667296159,0.17917431064534084
scene0477_00,fov,controls,0.023164733634603158,1.128676541610934,0.022116193740471538,0.12155115696504902,0.002559700880773952
scene0493_01,translation,selected,0.41409935140468923,13.137068157175998,0.06550758692641102,0.6254841800411757,0.5781499213331721
scene0493_01,translation,controls,0.015050807762392438,1.0026145638050699,0.017940282233198247,0.05429455235847421,0.006960293650470628
scene0493_01,rotation,selected,0.31917752227949353,17.084268725933242,0.17170521707148642,0.7882243792665399,0.7408901205585363
scene0493_01,rotation,controls,0.02952997496017186,0.8119302401027237,0.060643477746673155,0.06914217745012256,0.02180791874211898
scene0493_01,fov,selected,0.1068776061418043,5.15970072523391,0.45486379716396946,0.27564629744343067,0.22831203873542708
scene0493_01,fov,controls,0.030798931916797338,1.0689331505122217,0.017977851063460802,0.08419731655722032,0.036863057849216736
scene0509_01,translation,selected,0.16246861745413146,8.828415354792485,0.0535020195380029,0.11230276520240601,0.0727362943641896
scene0509_01,translation,controls,0.009612486449245105,0.7584444912027104,0.023102261079698216,0.03853245010967393,-0.00103402072854248
scene0509_01,rotation,selected,0.151275050847614,14.83816134415662,0.13776398842679832,0.1401939815360122,0.1006275106977958
scene0509_01,rotation,controls,0.012608099095224161,0.693226996027807,0.05447047335187413,0.038604021659072216,-0.0009624491791441966
scene0509_01,fov,selected,0.0523137581318482,4.792652873033175,0.22883443107995236,0.03432402846952846,-0.005242442368687955
scene0509_01,fov,controls,0.020140345823087435,1.1683639873805078,0.02745631080011581,0.037934847153520204,-0.0016316236846962082
scene0525_00,translation,selected,0.26065672351817715,9.647230480720518,0.060236180854029236,0.30758685130693036,0.23149345913417713
scene0525_00,translation,controls,0.014404616529221924,1.331210356266296,0.020071640334802417,0.07904367951142907,0.002950287338675847
scene0525_00,rotation,selected,0.19533080503837424,16.34737583499448,0.18500881107477737,0.3033606852330993,0.22726729306034604
scene0525_00,rotation,controls,0.021227997938245032,0.7688271333377811,0.06068098208556016,0.0737211366286257,-0.0023722555441275245
scene0525_00,fov,selected,0.06294227048934323,3.2845079558594983,0.4023789964087153,0.10337580900436075,0.027282416831607523
scene0525_00,fov,controls,0.02860105818124889,1.2437918432796404,0.01841121281610192,0.0784267484266019,0.002333356253848673
scene0540_02,translation,selected,0.11140204570702102,5.179486174198508,0.03916401755248167,0.1011677966429576,0.04130353416631805
scene0540_02,translation,controls,0.008843698894819592,0.8893135840298951,0.02455362032701326,0.06295777311810047,0.0030935106414609267
scene0540_02,rotation,selected,0.08284833378242178,12.925341520948995,0.12878091206594042,0.14398476866736343,0.08412050619072389
scene0540_02,rotation,controls,0.012835037362639254,0.6217256422742493,0.06109757293519524,0.06324343112854208,0.0033791686519025407
scene0540_02,fov,selected,0.06588890935558364,6.989413124092583,0.20670596187084406,0.09442930686233819,0.03456504438569865
scene0540_02,fov,controls,0.011401796972434469,1.1474483608315607,0.022670198077005557,0.06348622403420733,0.0036219615575677835
scene0555_00,translation,selected,0.2644842005219692,6.391796006719583,0.03884069337054974,0.36207585771005085,0.2430733156975383
scene0555_00,translation,controls,0.011109806502448534,1.1348470193538436,0.018710355416169038,0.11761660631115105,-0.0013859357013615153
scene0555_00,rotation,selected,0.13985712335602382,10.922803560274385,0.14157329439831434,0.46992506567781855,0.35092252366530596
scene0555_00,rotation,controls,0.015732837867785093,0.7200360703452094,0.04507356623705951,0.11943011549877186,0.00042757348625929725
scene0555_00,fov,selected,0.09115947966605539,5.8704938101935715,0.21573621358413642,0.23384288856386312,0.11484034655135056
scene0555_00,fov,controls,0.017163589538446548,0.9396850528450298,0.015719560942186763,0.12419836758259147,0.005195825570078902
scene0571_00,translation,selected,0.17768913756440707,6.523062918384283,0.04745663982526808,0.16736928225402614,0.12916351037690035
