scene,iteration,unit,projected_translation,measured_translation,translation_relative_error,projected_rotation,measured_rotation,rotation_relative_error,projected_fov,measured_fov,fov_relative_error
scene0238_00,1,991,0.0002084104738838561,0.00020848070562351495,0.0003368740500411919,0.022208856512545786,0.30388742685317993,0.9269174880233667,0.0008269699868335443,0.0008363609085790813,0.011228312621032797
scene0238_00,2,991,3.631534531142294e-05,3.696772182593122e-05,0.01764719280187466,0.004205557080854744,0.2871015667915344,0.9853516749216893,0.00021088048209148036,0.00021494909015018493,0.018928240430614692
scene0238_00,3,991,3.382270981284044e-05,3.399276829441078e-05,0.005002784124478135,0.0034108887466141624,0.3012157678604126,0.9886762609711892,0.0002269940737991504,0.00022698650718666613,3.333396488117476e-05
scene0254_01,0,120,0.02639799282381208,0.02554592490196228,0.032277754128382026,1.8153693925903283,2.3722286224365234,0.2347409623926733,0.01897423414418604,0.018384838476777077,0.031062948993362302
scene0254_01,1,620,0.00048605006837154304,0.000510015815962106,0.04699020469660022,0.04586665624821113,0.18100343644618988,0.7465978704672454,0.0002470979696559501,0.0002490896440576762,0.007995813753160025
scene0254_01,2,273,0.00024835869328362784,0.0002504588046576828,0.008385057083240855,0.004351193322140951,0.23695634305477142,0.9816371519493986,0.0009004412231338052,0.0009028735803440213,0.002694017482812235
scene0254_01,3,273,3.6800550610116495e-05,3.6910099879605696e-05,0.0029680025208962146,0.002923737354232072,0.22890177369117737,0.9872271092220691,0.0013258839844390196,0.0013258203398436308,4.800163222103372e-05
scene0267_00,0,120,0.027950207505004782,0.027831975370645523,0.004230098625854154,2.6190944221551997,3.981269598007202,0.3421459266495869,0.020400363611050003,0.019598782062530518,0.03929251281017871
scene0267_00,1,991,0.00017759167394867288,0.00017909468442667276,0.008392267379746013,0.016988301996557518,0.21129751205444336,0.9196000850583594,0.00079240081752908,0.0008141592261381447,0.02672500404162076
scene0267_00,2,991,3.0150677187880666e-05,3.056124478462152e-05,0.01343425634768171,0.0027878942878398804,0.32700666785240173,0.9914745032382697,0.00017021863799564717,0.00017403191304765642,0.021911355137290405
scene0267_00,3,991,3.135266391565625e-05,3.141420165775344e-05,0.0019589147216796648,0.0027173757500361093,0.2566678524017334,0.9894128706629652,0.00021383315714101992,0.0002138614800060168,0.00013243556060714556
scene0294_02,0,120,0.06453536557056602,0.06417937576770782,0.0055161971999514205,3.7923554996914786,5.41821813583374,0.30007330738301446,0.026669383203222964,0.02578616328537464,0.03311737324849667
scene0294_02,1,273,0.0003130670281841117,0.00034116243477910757,0.08235199345199534,0.008115645656724015,0.2161431908607483,0.9624524574454322,0.0017470449760989242,0.001736341160722077,0.006126811572274748
scene0294_02,2,273,2.7123719821521797e-05,2.8276583179831505e-05,0.04077095704872847,0.0011380439457530315,0.2603547275066376,0.9956288715912639,0.000520549716300397,0.0005240141763351858,0.006611386086953426
scene0294_02,3,991,5.967437447791696e-05,5.976568354526535e-05,0.0015277842054500787,0.003446539636908587,0.24152082204818726,0.9857298447078781,0.0002500036809152534,0.00024995169951580465,0.00020792253641397913
scene0309_00,0,120,0.031053986108478284,0.030605953186750412,0.014427549499210707,2.96422010006637,4.162914276123047,0.2879459187838549,0.018746105347083236,0.018181219696998596,0.0301334938444978
scene0309_00,1,273,0.0001654845061953856,0.00016439879254903644,0.006560817512832731,0.0038049767724245846,0.2776778042316437,0.986297151898931,0.0016392693828201433,0.0016588842263445258,0.011824118412172326
scene0309_00,2,273,1.3135973926673137e-05,1.3565155313699506e-05,0.03163851626475204,0.0006965710458470638,0.2703864574432373,0.9974237946218393,0.000350500385502936,0.0003528122033458203,0.0065525450110871
scene0309_00,3,991,2.26865527003758e-05,2.2710270059178583e-05,0.0010443450800444855,0.0028259425101479626,0.2548302114009857,0.9889104886951523,0.00019078238626001008,0.0001907270634546876,0.00028997857929654794
scene0340_01,0,120,0.03376187569440458,0.03211592137813568,0.04875186234222423,2.363624341830877,3.712045431137085,0.3632555458495979,0.029013692936405953,0.02815275825560093,0.029673391894374675
scene0340_01,1,273,7.043849449691564e-05,7.153768092393875e-05,0.015365139222108696,0.002245096807177671,0.19123400747776031,0.9882599500120879,0.0012545050204301402,0.0012765772407874465,0.01729015656247425
scene0340_01,2,991,1.833439274360172e-05,1.9008937670150772e-05,0.03548567196410305,0.0017316474105521066,0.16517755389213562,0.9895164483929645,0.00011308299084461079,0.00011639223521342501,0.028431831064556504
scene0340_01,3,991,2.0540296645191684e-05,2.055970617220737e-05,0.0009440566345215851,0.0017824941724000987,0.1572646051645279,0.9886656366794342,0.00015221559099659127,0.00015231598808895797,0.0006591369272939321
scene0353_02,0,120,0.030505943271858977,0.03043239749968052,0.0024108670078824314,2.436922092241564,3.749765157699585,0.3501134098390916,0.019680575425796105,0.01971159316599369,0.0015735785502663793
scene0353_02,1,273,0.00011621939608674713,0.00011409344006096944,0.01829260947278422,0.002717966665414539,0.17540812492370605,0.9845048986949907,0.0017165068409015606,0.0017363008810207248,0.01140012099027891
scene0353_02,2,991,4.603535615471893e-05,4.6978839236544445e-05,0.020083150140746457,0.0035958163717293113,0.19151517748832703,0.98122437908636,0.0001971426538063432,0.00020137286628596485,0.021006864319120497
scene0353_02,3,991,3.825559111240915e-05,3.824404484475963e-05,0.0003018190887599388,0.003374818935492876,0.2125958949327469,0.9841256627435799,0.00024814980736218505,0.000248144002398476,2.33929809204989e-05
scene0367_01,0,120,0.029467547784153017,0.02914268709719181,0.011024354294452325,2.3010065677970943,3.5032992362976074,0.3431886879783448,0.023259126153973346,0.023044398054480553,0.009231993415028252
scene0367_01,1,273,0.00010321941166368505,0.00010521248623263091,0.01894332735887503,0.0023143353779035048,0.24411965906620026,0.9905196681547228,0.0011230203087619762,0.0011335695162415504,0.00930618486861841
scene0367_01,2,56,0.0003206488136861462,0.0003564512880984694,0.10044142245442735,0.030160426739305607,0.2759109437465668,0.8906878200271428,0.00017684062172628563,0.00017790868878364563,0.006003456405993049
scene0367_01,3,56,0.0003047954504162471,0.0003048200160264969,8.059054182201217e-05,0.03009296377054128,0.25598904490470886,0.8824443296714385,0.00020592226998427258,0.000205895776161924,0.00012865933514912714
scene0380_02,0,120,0.07567998281763184,0.07203328609466553,0.04818574987991029,3.0476106675098644,4.981679916381836,0.38823635426915876,0.03466150901736836,0.03213045746088028,0.07302196667836376
scene0380_02,1,236,0.0011905783716502016,0.0011616875417530537,0.024266214291381566,0.019097607514713,0.2676480710506439,0.9286465714482979,0.0005289583992561082,0.00035177110112272203,0.33497397599238526
scene0380_02,2,991,6.233831413010947e-05,6.331463373498991e-05,0.015420125605826469,0.002523001589846022,0.26649874448776245,0.9905327824538329,0.00014036612152922202,0.00014188689237926155,0.010718191261632086
scene0380_02,3,991,6.393503293697032e-05,6.424588355002925e-05,0.004838451833522739,0.002497542134847861,0.3132287859916687,0.992026460381217,0.0001845629222930012,0.00018465843459125608,0.000517237668922587
scene0395_00,0,120,0.031139926594394494,0.031155521050095558,0.0005005358657295374,2.1723257362066204,3.0402166843414307,0.2854700958010209,0.017150176044985064,0.01710999198257923,0.002343069966187489
scene0395_00,1,273,0.0001442149328061478,0.00014410649600904435,0.0007519110191536376,0.003325187278990132,0.24063163995742798,0.9861814211980667,0.0019390412321113146,0.001959281973540783,0.010330693439132484
scene0395_00,2,991,4.8521326046461075e-05,4.9436897825216874e-05,0.018520008718847694,0.0036689466164685643,0.21313518285751343,0.9827858236857996,0.00019925327972863607,0.0002032226911978796,0.019532324101438514
scene0395_00,3,991,4.49023756419195e-05,4.500677459873259e-05,0.0023196276059300747,0.0031142479188909712,0.228293776512146,0.9863585947612318,0.00023215008667468854,0.000232156555284746,2.7863137655196938e-05
scene0409_01,0,120,0.04682732722572253,0.04870719835162163,0.0385953450315113,2.419368361740888,3.8612074851989746,0.3734166394800165,0.017842567085953383,0.01786182075738907,0.0010779232250284622
scene0409_01,1,273,0.0004553383830676129,0.00046399416169151664,0.01865493003693971,0.006194872323580086,0.27815985679626465,0.9777290929218537,0.0010391008138798757,0.0010352054378017783,0.003748795137165255
scene0409_01,2,273,9.926359587455083e-05,0.00010058206680696458,0.013108409622802138,0.0029649112649698136,0.26151353120803833,0.9886624938630376,0.0014969325245706405,0.0015127244405448437,0.010439387076019848
scene0409_01,3,991,7.276612091625684e-05,7.288107735803351e-05,0.0015773153463681242,0.003217338692291801,0.28184667229652405,0.9885847909216863,0.00023284496931137916,0.0002328333939658478,4.971267176442094e-05
scene0421_02,0,120,0.02785281508969352,0.027686500921845436,0.00597117983631124,2.2176702899851755,3.2476654052734375,0.31714939402802844,0.017274237283435242,0.017516199499368668,0.013813625263981878
scene0421_02,1,273,0.00013555591372495284,0.00013663872960023582,0.007924662930129547,0.0023437591352272412,0.2451484203338623,0.9904394279512985,0.0012150836849124786,0.0012234284076839685,0.00682076917544125
scene0421_02,2,273,1.892454695299921e-05,1.9144394173054025e-05,0.01148363422041598,0.000578858080364871,0.2404307723045349,0.9975924126732344,0.00035884009556788897,0.0003612909640651196,0.006783641831653741
scene0421_02,3,991,4.748858464045885e-05,4.7593370254617184e-05,0.0022016851002092607,0.004572494262247762,0.2532622218132019,0.9819456126163961,0.00030618444358260514,0.000306213041767478,9.33930988300647e-05
scene0435_03,0,120,0.03123680695847211,0.030279964208602905,0.030631900089573255,2.539372016062557,3.275970697402954,0.22484898351634844,0.021715704815432384,0.020808836445212364,0.041760945726962935
scene0435_03,1,273,0.0001107251362549113,0.00011052293848479167,0.0018261234707730699,0.003263238118424666,0.23059985041618347,0.9858489148517,0.0016848329573824188,0.001721009030006826,0.021020268919950767
scene0435_03,2,991,2.8975253165200263e-05,2.9986493245814927e-05,0.03372318571314764,0.002603415500182735,0.2245245724916458,0.98840476357981,0.0001298564678917408,0.00013260576815810055,0.020732885941144374
scene0435_03,3,991,2.981973021277648e-05,2.9911445381003432e-05,0.0030662232151843897,0.0024573651183873854,0.24950458109378815,0.9901510220469112,0.00016727034155665973,0.00016736119869165123,0.0005428805224972529
scene0451_01,0,120,0.05033100733419978,0.049775898456573486,0.011029162876481943,2.688439939487561,3.7640933990478516,0.285766941870354,0.019635738553703774,0.019309021532535553,0.016638896483300036
scene0451_01,1,273,0.00011331537027016998,0.00011430361337261274,0.008645773071243552,0.003327894470372758,0.23059985041618347,0.9855685315304125,0.0017808828227458102,0.0018122767796739936,0.017322937246832013
scene0451_01,2,991,6.133737298797662e-05,6.277955981204286e-05,0.02297223536424977,0.003450893897022029,0.21758317947387695,0.9841398866154709,0.0001601024008248575,0.00016437892918474972,0.02601628068209224
scene0451_01,3,991,6.650886654737439e-05,6.661283259745687e-05,0.0015607510749580458,0.003525880691064675,0.18101496994495392,0.9805216071790256,0.00022341037803931806,0.00022340753639582545,1.2719388944927987e-05
scene0466_01,0,120,0.03706200883295394,0.03731294348835945,0.006725136961756801,2.0816888025083817,2.7405247688293457,0.24040503987212464,0.019209074480687757,0.018831932917237282,0.019633510392686637
scene0466_01,1,273,7.282164931352454e-05,7.195588841568679e-05,0.011888784530412455,0.0020847221354961263,0.15555499494075775,0.986598166543671,0.0007010527050306979,0.0007100192015059292,0.012628526744366505
scene0466_01,2,991,8.680146425708901e-05,8.90334922587499e-05,0.0250695322067582,0.004514262960048255,0.1469632387161255,0.969283046566713,0.00028312511855891064,0.0002873420307878405,0.014675584415436293
scene0466_01,3,991,3.816914284138017e-05,3.8355065044015646e-05,0.004847396358788991,0.0018742719203677374,0.15330813825130463,0.9877744786301207,0.00016094479859424683,0.000161091928021051,0.0009133258792764454
scene0477_00,0,120,0.05715096484643536,0.054793450981378555,0.04125063979919573,2.5456905061049744,3.5797171592712402,0.28885708204297716,0.03317395999778015,0.03166152164340019,0.04559113094973184
scene0477_00,1,273,0.00014825547394417882,0.00014969066251069307,0.009587696002158658,0.003707904331134312,0.11857757717370987,0.9687301392091826,0.0018460745071807634,0.0018659114139154553,0.010631215708716798
scene0477_00,2,273,1.0533561036860934e-05,1.1505338989081793e-05,0.08446321774117609,0.00043243309307780336,0.16155946254730225,0.9973233812104866,0.00025256632646242385,0.0002545903844293207,0.00795025299731524
scene0477_00,3,991,5.743611563282838e-05,5.741230779676698e-05,0.000414509856717982,0.0026161972985017153,0.14163756370544434,0.9815289303906521,0.00022461137316410538,0.00022461898333858699,3.388037096640516e-05
scene0493_01,0,120,0.04806113251407038,0.049874093383550644,0.036350753396917033,1.9180718092335916,2.8853771686553955,0.33524399164514584,0.02081856981330572,0.020725484937429428,0.004471242583474622
scene0493_01,1,273,9.591912650784092e-05,9.917483839672059e-05,0.032828002964382194,0.002548891095085495,0.2759702205657959,0.9907638907927828,0.0013857174151661687,0.001413620775565505,0.019738929196321347
scene0493_01,2,991,7.290607012448456e-05,7.309267675736919e-05,0.0025530140797014864,0.002460984285931282,0.32230058312416077,0.9923643194744602,0.00011984257623192201,0.00012274902837816626,0.023678005314144126
scene0493_01,3,991,7.183032343734827e-05,7.186761649791151e-05,0.0005189132794507949,0.002418819549320812,0.29733213782310486,0.9918649239633831,0.00016506424141821686,0.00016500186757184565,0.00037787618829671917
scene0509_01,0,120,0.029681414376445437,0.029576724395155907,0.003527122392543739,2.140598271311255,2.8307206630706787,0.2437974190681182,0.02303209248016605,0.022002046927809715,0.04472218723693265
scene0509_01,1,273,0.00013188718589229967,0.00013165378186386079,0.001769724836114771,0.002484724678839278,0.21887002885341644,0.9886474877722825,0.001433767036597017,0.001460867584683001,0.018550995566011377
scene0509_01,2,273,9.748211800549838e-06,1.0186010513280053e-05,0.04298039081733053,0.0004124406615257172,0.17957496643066406,0.9977032396568206,0.0002773168631507127,0.0002830542216543108,0.020269468054799306
scene0509_01,3,991,2.8464528952072332e-05,2.854814192687627e-05,0.002928841219092463,0.002382010809575203,0.20495262742042542,0.9883777493386854,0.0001755851822254977,0.00017561503045726568,0.0001699639927758505
scene0525_00,0,120,0.04206026986071245,0.04421866312623024,0.04881181638975069,2.8333113923369417,3.9227828979492188,0.27772923813393774,0.025146625865265303,0.025241458788514137,0.0037570302114229353
scene0525_00,1,273,8.742642732004748e-05,8.892717596609145e-05,0.01687615320896074,0.002191851975044048,0.3008085787296295,0.9927134658715497,0.001128173878551352,0.0011380930664017797,0.008715621018400871
scene0525_00,2,991,5.646477773922074e-05,5.6563552789157256e-05,0.0017462667224016394,0.003186394715392612,0.28518152236938477,0.9888267841165901,0.00014283438182259098,0.00014474881754722446,0.013225916156509488
scene0525_00,3,991,5.56444031468008e-05,5.561693978961557e-05,0.0004935511144359486,0.0030225929954040254,0.2968636751174927,0.9898182457176421,0.0001846725272754931,0.00018461424042470753,0.0003156227493363059
scene0540_02,0,120,0.02565525835112617,0.024909386411309242,0.029072868010475008,2.5672476094230916,3.3497278690338135,0.23359517256439652,0.020222063469485796,0.01964028738439083,0.028769372916509703
scene0540_02,1,273,8.159402036515843e-05,8.044903370318934e-05,0.014032727604852892,0.002124079951011105,0.20917868614196777,0.9898456195983107,0.0012977816351433136,0.001322694355621934,0.018834827844189522
scene0540_02,2,991,2.1301101601391883e-05,2.2391210222849622e-05,0.04868466735868138,0.002826311235917607,0.22344808280467987,0.9873513739726818,0.00014252939877081063,0.00014644426119048148,0.02673278138621459
