scene,frame_count_actual,iteration,delta_norm_mean,delta_norm_p95,delta_norm_max,pose_ate_rmse_aligned,pose_ate_mean_aligned,pose_ate_max_aligned,pose_are_mean_deg_aligned,pose_are_max_deg_aligned,pose_rpe_rot_mean_deg,pose_rpe_trans_mean_aligned,pose_sim3_scale,frame_count_requested,inference_time_ms,peak_cuda_memory_mb
scene0029_01,100,4,0.000292338925646618,0.0005377578781917691,0.0006359452963806689,0.034594850293279945,0.02915131411744871,0.08692620312006856,4.582419771051529,5.7348474112255206,0.773930799541592,0.018167756740872596,0.9671397408014369,100,12646.115545649081,14986.95654296875
scene0029_01,100,8,0.0001465492241550237,0.0002728852559812367,0.0003305376449134201,0.03451695147345997,0.02905636075751007,0.08679620499996236,4.581234177801041,5.728920419762536,0.7726993199473766,0.018192874367764632,0.967878516557704,100,12646.115545649081,14986.95654296875
scene0029_01,100,16,6.473084795288742e-05,0.00012049984798068181,0.00014981655112933367,0.034464696824324306,0.02898551799151666,0.08675578313562622,4.580504839790193,5.7436360098780135,0.772618596567999,0.018221510686823244,0.9684299996707205,100,12646.115545649081,14986.95654296875
scene0029_01,200,1,1.757575511932373,1.8025856018066406,1.825273871421814,0.03472388139676767,0.029181003138343736,0.09387325717806172,4.399082187116787,5.675708969415835,0.5459536003013103,0.012826968968346602,0.9565192674262073,200,44067.056371830404,23959.8974609375
scene0029_01,200,2,0.005071784369647503,0.01120712049305439,0.014069424010813236,0.03385435850513849,0.028524066154567356,0.09266577801898455,4.616234534166712,5.8857956400669025,0.5366037151347797,0.012652998638533744,0.9632461441603898,200,44067.056371830404,23959.8974609375
scene0029_01,200,4,0.00028147344710305333,0.0005054055945947766,0.0006564807263202965,0.03370179927967586,0.028388541593844324,0.09228481273582527,4.617724538857547,5.894081728798191,0.535330739040529,0.012640787500080812,0.9643703330973072,200,44067.056371830404,23959.8974609375
scene0029_01,200,8,0.0001425145601388067,0.00026526983128860593,0.0003391621576156467,0.033578982842612376,0.028273493144386094,0.09197045419884049,4.606426697536968,5.889593703550165,0.5346785979976938,0.012635540519724688,0.9650726103231816,200,44067.056371830404,23959.8974609375
scene0029_01,200,16,6.390479393303394e-05,0.00012380984844639897,0.00015905077452771366,0.03348892626084728,0.02818375386346612,0.09171994181524087,4.596658428596436,5.889529213777478,0.5339059373047249,0.012632481444025607,0.9655930248587413,200,44067.056371830404,23959.8974609375
scene0029_01,500,1,1.7555049657821655,1.8041555881500244,1.8258548974990845,0.032094666078978644,0.026260047984056286,0.10400252845707252,3.6716810762725918,5.881046243370544,0.4053604105608212,0.01041285984577077,0.9568498066099719,500,259995.00315077603,50877.36328125
scene0029_01,500,2,0.005250286776572466,0.01382687222212553,0.015710685402154922,0.03111464022500284,0.025523600530600425,0.10338106134419109,4.047576991128705,5.9377439101470975,0.3977174834755926,0.010324718996144375,0.9643588634512057,500,259995.00315077603,50877.36328125
scene0029_01,500,4,0.0002896225487347692,0.0005374857573769987,0.0006153489812277257,0.03108452507612137,0.025478729083846807,0.10372108201648836,4.002499974225365,5.933995449293207,0.3961448092840621,0.010296155468990712,0.9652016389456096,500,259995.00315077603,50877.36328125
scene0029_01,500,8,0.00013958540512248874,0.0002711120469029993,0.0002997348492499441,0.030996584518664192,0.025383975154800554,0.1035596290533475,3.962439575914442,5.932577271984944,0.39567714638486473,0.010286717479237428,0.9656381537621633,500,259995.00315077603,50877.36328125
scene0029_01,500,16,6.167941319290549e-05,0.00011704280768753961,0.00016731381765566766,0.03092974443880527,0.02530665680697285,0.10341753530147299,3.929718781501927,5.93933430407986,0.39525805033858064,0.010281461211174561,0.9659285784089534,500,259995.00315077603,50877.36328125
scene0042_02,25,1,1.7374378442764282,1.797208547592163,1.8187415599822998,0.04423546033746125,0.040314136871571614,0.08902448660241372,3.6500052591999124,6.091308179996829,1.1947243210520995,0.03851363106574985,1.6918634812837305,25,1400.1139076426625,8261.50146484375
scene0042_02,25,2,0.0024299498181790113,0.004716092720627785,0.005833287723362446,0.04332622792181551,0.039237144373232356,0.090131212518015,3.6999127129852485,5.996401948278348,1.1548333682307623,0.03825449914415533,1.7001737701628976,25,1400.1139076426625,8261.50146484375
scene0042_02,25,4,0.00019164735567755997,0.0003671415615826845,0.0004752328968606889,0.04338179658009671,0.03923925051278035,0.09112632636184695,3.7117405975651194,6.000062278293158,1.1485324729442075,0.038297022656158114,1.7006514190876425,25,1400.1139076426625,8261.50146484375
scene0042_02,25,8,0.00010464380466146395,0.00021879443374928087,0.00030257177422754467,0.04347305988663954,0.039260295963700044,0.09239039146674195,3.7267993133277177,6.003900541284619,1.1408783899787445,0.038366296794627795,1.7010596469408112,25,1400.1139076426625,8261.50146484375
scene0042_02,25,16,5.413862527348101e-05,0.00013351536472328007,0.00018851766071747988,0.04357105321553207,0.03929192872003205,0.09350902843298989,3.7415132725876457,6.005837420729581,1.133591455777202,0.03843010956753967,1.7012542866640175,25,1400.1139076426625,8261.50146484375
scene0042_02,50,1,1.739323377609253,1.7969728708267212,1.8151617050170898,0.0463484970871427,0.04176279408086407,0.09209904819493177,3.752547726091166,6.330734621757141,0.8685036118736852,0.024844157900942538,1.66186207717504,50,3945.5383457243443,10500.89208984375
scene0042_02,50,2,0.0024398998357355595,0.0047346968203783035,0.00484229251742363,0.04486907489482316,0.04038381802098364,0.08739863923232322,3.76000691914269,6.402927599304829,0.8519179028484833,0.02450411500823041,1.6699911215150471,50,3945.5383457243443,10500.89208984375
scene0042_02,50,4,0.00018792694027069956,0.00037018273724243045,0.0004366593493614346,0.04483819634203395,0.04033984683062766,0.08707453048524773,3.7628449365566747,6.404293441855821,0.8485123549568637,0.024481948456441433,1.6704211734202337,50,3945.5383457243443,10500.89208984375
scene0042_02,50,8,0.00010330756049370393,0.0002441899850964546,0.00027601534384302795,0.04482632127425142,0.0403080801770597,0.08677989129658781,3.766867048158501,6.409996749992611,0.8442201574747731,0.024457295426074915,1.670772539217468,50,3945.5383457243443,10500.89208984375
scene0042_02,50,16,5.195920675760135e-05,0.00014605790784116834,0.00017526419833302498,0.044832419381010645,0.04029836702742628,0.08662694696009977,3.772023470278134,6.424140434485496,0.8400974783032077,0.02442658747839447,1.670918241947903,50,3945.5383457243443,10500.89208984375
scene0042_02,100,1,1.739883303642273,1.8035005331039429,1.8173877000808716,0.04874863621478082,0.045135419567327,0.09383295261433006,4.043389678338299,7.020043244712713,0.6331346873976266,0.019850544851756573,1.6408509205447694,100,12607.14035993442,14986.95654296875
scene0042_02,100,2,0.0025962754152715206,0.0052980342879891396,0.006073157303035259,0.047209865556472594,0.04368865761600166,0.09023814653369329,4.041680514550721,7.161383313398643,0.6342529648416597,0.019578065286337102,1.6495951180339872,100,12607.14035993442,14986.95654296875
scene0042_02,100,4,0.00019427912775427103,0.000365831539966166,0.0005317721515893936,0.047182294636184736,0.04365134664618761,0.09015704596743214,4.041041505127435,7.170664802068171,0.6341950256704214,0.019553962697363026,1.649961368345063,100,12607.14035993442,14986.95654296875
scene0042_02,100,8,0.00010381626634625718,0.00023373146541416645,0.0003313952183816582,0.0471811705622859,0.043633020730627976,0.09014091482017214,4.040752400549319,7.187566417340783,0.6344189653651455,0.019535792779806688,1.650217835447509,100,12607.14035993442,14986.95654296875
scene0042_02,100,16,5.003389378543943e-05,0.00013629325258079916,0.00018051770166493952,0.047210796691859305,0.04364316380525032,0.09022923888702077,4.0421781122323575,7.21341037388195,0.6349169112776035,0.019526014887043433,1.6502591775709863,100,12607.14035993442,14986.95654296875
scene0042_02,200,1,1.7385059595108032,1.801381230354309,1.8177084922790527,0.048908677422558985,0.044692024851533355,0.096124920982237,4.143680940446632,7.380116468885253,0.4648469833254992,0.015588422704988652,1.6387954343675757,200,43860.75856676325,23959.8974609375
scene0042_02,200,2,0.0026061309035867453,0.004817214794456959,0.006140118930488825,0.04744724557288925,0.043324628905790225,0.09373819150365051,4.12413184445735,7.578001307320227,0.46228467452673333,0.015386498169465987,1.6464816235512196,200,43860.75856676325,23959.8974609375
scene0042_02,200,4,0.00019818556029349566,0.0003587012179195881,0.0005530188209377229,0.04741358286804987,0.043283071862280656,0.09344811497565145,4.120109470456445,7.59254628441673,0.46227522289661555,0.015364196011599732,1.646876493269384,200,43860.75856676325,23959.8974609375
scene0042_02,200,8,0.00010339087020838633,0.00022579477808903903,0.0003351446066517383,0.047408032522047915,0.043261486742149635,0.09454930994399288,4.116601581287665,7.619135865857518,0.46253473356588753,0.015343950884606428,1.6471612075886308,200,43860.75856676325,23959.8974609375
scene0042_02,200,16,4.781873940373771e-05,0.00012847603647969663,0.0001693621015874669,0.047444023932961696,0.04327666419460309,0.09593563346512143,4.116108168332901,7.6596017110487455,0.46313575388120654,0.01533489825079445,1.647208746512741,200,43860.75856676325,23959.8974609375
scene0042_02,500,1,1.7352707386016846,1.8012819290161133,1.8229347467422485,0.04993287728851739,0.04569171499445573,0.0972206312817008,4.181138084673154,7.848599872732212,0.33371526784225386,0.010687800727802534,1.6228288602009517,500,259675.4231234081,50877.36328125
scene0042_02,500,2,0.002989528700709343,0.00525365537032485,0.008005705662071705,0.04822789576367729,0.044047966573097876,0.0947454030704952,4.086659848024549,7.982786598676617,0.33382578168347987,0.01060860202392605,1.6307161020296608,500,259675.4231234081,50877.36328125
scene0042_02,500,4,0.0002243000199086964,0.000401191005948931,0.0005929471808485687,0.04814426974251133,0.043959245071741364,0.0955530089261931,4.069162933098555,7.985500519614384,0.3338633799267765,0.010600535327863939,1.631303283282457,500,259675.4231234081,50877.36328125
scene0042_02,500,8,0.00010988270514644682,0.0002009816380450502,0.0003587542159948498,0.0480768013027195,0.04387926082477728,0.09679913693772235,4.050611532861204,8.000741623902435,0.3340411051756896,0.010595337122694268,1.6318044562114775,500,259675.4231234081,50877.36328125
scene0042_02,500,16,4.8415698984172195e-05,0.00012346608855295926,0.00018353511404711753,0.04807324098918847,0.04385419481770475,0.09832903972770464,4.038865313106394,8.031479005364066,0.33436425230440975,0.010595197510749603,1.6320044415275836,500,259675.4231234081,50877.36328125
scene0056_00,25,1,1.9685931205749512,2.3276069164276123,2.373670816421509,0.1713989767903641,0.13849673383490263,0.5351147284478754,2.9321376260971834,5.156373143354972,2.5008245360267636,0.13074877876532456,3.3860688129423635,25,1400.779556017369,8261.50146484375
scene0056_00,25,2,0.0031225092243403196,0.0053300983272492886,0.008605034090578556,0.17716416964631282,0.14455295840312635,0.5397671236826792,2.948298786186947,5.357170309045795,2.484814709657104,0.1356018767884862,3.3883101246678136,25,1400.779556017369,8261.50146484375
scene0056_00,25,4,0.0002763179363682866,0.0004665134765673429,0.0005802552332170308,0.17804297153213058,0.14552977286944127,0.5405198381126488,2.952711707513765,5.395004165161284,2.484549857678933,0.1366291650245336,3.3887723953276745,25,1400.779556017369,8261.50146484375
scene0056_00,25,8,0.0001486671535531059,0.0002444448764435947,0.00032934729824773967,0.1792004206978591,0.1467695388301623,0.5417327945095539,2.960106561862968,5.445941657202681,2.486444279306804,0.13806955049434275,3.3891213170908663,25,1400.779556017369,8261.50146484375
